,Prompts,Output
0,JAVASCRIPT TEST: When I am on the https://www.Hyperpnea.com page then the page should have 'Kinswoman' in the title,"test(""should have 'Kinswoman' in the title when on the 'https://www.Hyperpnea.com' page"", async ({ page }) => {
    await page.goto('https://www.Hyperpnea.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Kinswoman');
  });"
1,JAVASCRIPT TEST: When I am on the https://www.Metalanguage.com page then the page should have 'Tetraodontidae' in the title,"test(""should have 'Tetraodontidae' in the title when on the 'https://www.Metalanguage.com' page"", async ({ page }) => {
    await page.goto('https://www.Metalanguage.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Tetraodontidae');
  });"
2,JAVASCRIPT TEST: When I am on the https://www.Langmuir.com page then the page should have 'Cancerweed' in the title,"test(""should have 'Cancerweed' in the title when on the 'https://www.Langmuir.com' page"", async ({ page }) => {
    await page.goto('https://www.Langmuir.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Cancerweed');
  });"
3,JAVASCRIPT TEST: When I am on the https://www.Tete-A-Tete.com page then the page should have 'Soft Pretzel' in the title,"test(""should have 'Soft Pretzel' in the title when on the 'https://www.Tete-A-Tete.com' page"", async ({ page }) => {
    await page.goto('https://www.Tete-A-Tete.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Soft Pretzel');
  });"
4,JAVASCRIPT TEST: When I am on the https://www.Council-Of-Economic-Advisors.com page then the page should have 'Compression Bandage' in the title,"test(""should have 'Compression Bandage' in the title when on the 'https://www.Council-Of-Economic-Advisors.com' page"", async ({ page }) => {
    await page.goto('https://www.Council-Of-Economic-Advisors.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Compression Bandage');
  });"
5,JAVASCRIPT TEST: When I am on the https://www.Bond-Issue.com page then the page should have 'Pulp Cavity' in the title,"test(""should have 'Pulp Cavity' in the title when on the 'https://www.Bond-Issue.com' page"", async ({ page }) => {
    await page.goto('https://www.Bond-Issue.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Pulp Cavity');
  });"
6,JAVASCRIPT TEST: When I am on the https://www.Boll-Weevil.com page then the page should have 'Tomentum' in the title,"test(""should have 'Tomentum' in the title when on the 'https://www.Boll-Weevil.com' page"", async ({ page }) => {
    await page.goto('https://www.Boll-Weevil.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Tomentum');
  });"
7,JAVASCRIPT TEST: When I am on the https://www.Blood-Brain-Barrier.com page then the page should have 'Unconsciousness' in the title,"test(""should have 'Unconsciousness' in the title when on the 'https://www.Blood-Brain-Barrier.com' page"", async ({ page }) => {
    await page.goto('https://www.Blood-Brain-Barrier.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Unconsciousness');
  });"
8,JAVASCRIPT TEST: When I am on the https://www.Logorrhea.com page then the page should have 'Lake Tahoe' in the title,"test(""should have 'Lake Tahoe' in the title when on the 'https://www.Logorrhea.com' page"", async ({ page }) => {
    await page.goto('https://www.Logorrhea.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Lake Tahoe');
  });"
9,JAVASCRIPT TEST: When I am on the https://www.Luxembourg-Ville.com page then the page should have 'Openside Plane' in the title,"test(""should have 'Openside Plane' in the title when on the 'https://www.Luxembourg-Ville.com' page"", async ({ page }) => {
    await page.goto('https://www.Luxembourg-Ville.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Openside Plane');
  });"
10,JAVASCRIPT TEST: When I am on the https://www.Nucleic-Acid.com page then the page should have 'Jespersen' in the title,"test(""should have 'Jespersen' in the title when on the 'https://www.Nucleic-Acid.com' page"", async ({ page }) => {
    await page.goto('https://www.Nucleic-Acid.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Jespersen');
  });"
11,JAVASCRIPT TEST: When I am on the https://www.Clement-Xiv.com page then the page should have 'New Orleans' in the title,"test(""should have 'New Orleans' in the title when on the 'https://www.Clement-Xiv.com' page"", async ({ page }) => {
    await page.goto('https://www.Clement-Xiv.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('New Orleans');
  });"
12,JAVASCRIPT TEST: When I am on the https://www.Dysaphia.com page then the page should have 'Soil Horizon' in the title,"test(""should have 'Soil Horizon' in the title when on the 'https://www.Dysaphia.com' page"", async ({ page }) => {
    await page.goto('https://www.Dysaphia.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Soil Horizon');
  });"
13,JAVASCRIPT TEST: When I am on the https://www.Bandwidth.com page then the page should have 'Ordnance Survey' in the title,"test(""should have 'Ordnance Survey' in the title when on the 'https://www.Bandwidth.com' page"", async ({ page }) => {
    await page.goto('https://www.Bandwidth.com');
    const pageTitle = await page.title();
    expect(pageTitle).toContain('Ordnance Survey');
